Row_ID,Order_ID,Sales,Profit,Discount
1,MX-2014-143658,13,4.56,0.00
2,MX-2012-155047,252,90.72,0.00
3,MX-2012-155047,193,54.08,0.00
4,MX-2012-155047,35,4.96,0.00
5,MX-2012-155047,72,11.44,0.00
6,MX-2012-155047,56,21.32,0.00
7,MX-2013-134096,56,21.32,0.00
8,MX-2013-134096,345,165.42,0.00
9,MX-2013-134096,97,19.44,0.00
10,MX-2013-134096,342,13.64,0.00
11,MX-2013-134096,12,3.48,0.00
12,MX-2013-156335,21,9.54,0.00
13,MX-2013-156335,211,50.48,0.00
14,MX-2014-121923,80,37.62,0.00
15,MX-2014-135706,133,35.76,0.00
16,MX-2014-135706,13,1.02,0.00
17,US-2013-126655,19,-6.60,0.40
18,US-2013-126655,308,-149.10,0.40
19,US-2013-126655,40,-6.06,0.40
20,US-2013-126655,9,-4.84,0.40
21,MX-2013-167759,273,95.71,0.20
22,MX-2013-163139,27,5.94,0.00
23,MX-2013-163139,207,66.24,0.00
24,US-2014-119753,61,-20.22,0.40
25,US-2012-133970,181,-75.56,0.40
26,MX-2014-120607,326,64.71,0.00
27,MX-2014-120607,80,34.40,0.00
28,US-2013-167129,141,-73.05,0.40
29,US-2013-167129,22,-3.28,0.40
30,US-2013-167129,115,-49.82,0.40
31,US-2013-167129,19,2.87,0.40
32,US-2013-167129,152,-99.02,0.40
33,US-2013-167129,942,-601.74,0.40
34,US-2013-167129,10,-0.70,0.40
35,MX-2014-100727,301,129.08,0.00
36,MX-2014-100727,138,53.76,0.00
37,MX-2014-100727,91,31.76,0.00
38,MX-2014-154739,529,264.66,0.00
39,MX-2014-154739,334,106.72,0.00
40,MX-2014-154739,43,0.40,0.00
41,MX-2014-121398,62,8.58,0.20
42,MX-2013-121839,346,155.68,0.00
43,MX-2014-142643,414,45.52,0.00
44,MX-2014-142643,722,50.56,0.00
45,MX-2014-142643,56,3.90,0.00
46,MX-2014-164959,169,40.50,0.00
47,US-2012-151372,125,-0.06,0.20
48,US-2012-151372,153,36.13,0.20
49,MX-2011-127145,27,7.48,0.00
50,MX-2014-100783,45,8.50,0.00
51,MX-2011-168662,67,28.72,0.00
52,US-2011-150987,231,-85.65,0.40
53,US-2011-150987,172,-3.48,0.40
54,US-2011-150987,683,-79.76,0.40
55,US-2011-150987,28,4.12,0.40
56,MX-2013-156013,22,3.00,0.20
57,MX-2013-156013,201,-13.38,0.40
58,MX-2011-137897,2125,488.60,0.00
59,US-2011-134950,23,-11.78,0.40
60,MX-2013-152611,391,144.72,0.00
61,MX-2011-155488,64,20.96,0.00
62,MX-2014-116337,875,139.98,0.00
63,US-2012-164609,438,-248.05,0.40
64,MX-2014-165442,69,26.72,0.00
65,MX-2014-165442,49,17.50,0.00
66,US-2012-104997,132,-92.49,0.70
67,MX-2011-165673,18,5.72,0.00
68,MX-2011-165673,636,266.13,0.00
69,MX-2013-164021,875,411.06,0.00
70,MX-2013-164021,76,37.92,0.00
71,US-2014-120194,928,-81.22,0.20
72,US-2011-132388,107,-121.79,0.70
73,MX-2012-156720,29,12.24,0.00
74,MX-2012-156720,98,20.50,0.00
75,MX-2012-156720,9,3.92,0.00
76,MX-2012-156720,136,31.20,0.00
77,US-2014-157630,19,-8.35,0.40
78,US-2014-157630,159,15.84,0.40
79,US-2014-157630,122,-2.04,0.40
80,US-2011-119935,23,-0.79,0.40
81,US-2011-119935,323,-124.10,0.40
82,US-2011-119935,138,-22.92,0.40
83,US-2011-119935,40,-19.86,0.40
84,MX-2013-119970,264,5.24,0.00
85,MX-2013-119970,144,36.00,0.00
86,MX-2014-165925,37,10.26,0.00
87,MX-2014-137365,77,9.92,0.00
88,MX-2014-137365,39,-1.98,0.40
89,MX-2012-158981,143,32.76,0.00
90,MX-2012-158981,582,218.22,0.20
91,MX-2012-158981,42,0.00,0.00
92,MX-2012-158981,255,91.80,0.00
93,MX-2013-169292,59,15.30,0.00
94,MX-2013-169292,88,8.80,0.00
95,MX-2013-169292,18,2.28,0.00
96,MX-2011-112319,576,120.82,0.00
97,MX-2011-112319,55,1.64,0.00
98,MX-2011-149986,96,4.80,0.00
99,US-2013-125892,92,-3.52,0.20
100,US-2013-125892,85,-5.40,0.20
101,MX-2013-158533,495,197.82,0.00
102,MX-2013-165708,39,5.10,0.00
103,US-2013-103051,245,-27.54,0.20
104,US-2013-103051,16,2.28,0.00
105,MX-2013-151988,6,2.26,0.00
106,MX-2012-141915,267,6.62,0.20
107,US-2011-150623,77,-1.02,0.20
108,US-2014-112368,16,-5.36,0.40
109,US-2014-112368,11,-0.19,0.40
110,MX-2013-135895,48,13.48,0.00
111,MX-2014-162152,465,27.90,0.00
112,MX-2012-121006,46,10.10,0.00
113,US-2013-130631,67,-16.77,0.40
114,US-2013-130631,65,8.53,0.40
115,US-2013-130631,409,20.46,0.40
116,MX-2014-145051,28,1.36,0.20
117,MX-2014-167801,462,101.60,0.00
118,MX-2013-117471,1052,0.00,0.00
119,MX-2013-117471,185,33.18,0.00
120,MX-2013-117471,34,9.72,0.00
121,US-2012-146360,102,-52.76,0.40
122,US-2012-112032,73,-1.30,0.40
123,US-2011-138842,273,-95.60,0.40
124,US-2011-138842,106,-127.16,0.70
125,MX-2014-148488,145,63.80,0.00
126,MX-2014-148488,192,74.58,0.00
127,MX-2014-148488,199,63.68,0.00
128,MX-2014-148488,191,38.24,0.00
129,MX-2014-148488,108,51.72,0.00
130,MX-2011-158771,186,3.60,0.00
131,MX-2014-135265,47,22.26,0.00
132,US-2013-130239,966,-96.70,0.20
133,US-2014-118752,14,-1.26,0.20
134,US-2014-118752,6,-0.77,0.20
135,MX-2014-128762,13,0.42,0.40
136,MX-2014-128762,373,49.76,0.40
137,MX-2014-128762,6,-13.06,0.70
138,US-2012-105949,82,-1.48,0.40
139,MX-2011-165337,465,171.84,0.00
140,MX-2013-158071,348,121.74,0.00
141,MX-2013-158071,29,1.98,0.00
142,MX-2012-163272,349,65.74,0.00
143,MX-2012-163272,23,9.36,0.00
144,MX-2012-163272,71,7.04,0.00
145,MX-2011-105298,180,40.38,0.20
146,MX-2011-105298,18,-2.70,0.20
147,US-2012-116750,218,-127.31,0.40
148,US-2012-116750,7,-2.03,0.40
149,US-2012-116750,423,-178.20,0.40
150,US-2012-116750,57,5.72,0.40
151,MX-2013-106782,196,9.78,0.00
152,MX-2013-106782,19,7.10,0.00
153,MX-2013-106782,193,79.10,0.00
154,US-2012-137526,81,-11.12,0.20
155,MX-2011-140032,103,26.76,0.00
156,MX-2012-144862,59,9.30,0.00
157,MX-2012-144862,105,36.72,0.00
158,MX-2012-137659,37,3.68,0.00
159,MX-2012-137659,14,6.48,0.00
160,MX-2014-133053,168,3.30,0.00
161,MX-2014-133053,153,35.04,0.00
162,MX-2012-133375,255,99.40,0.00
163,MX-2012-133375,210,75.72,0.00
164,US-2014-155194,363,-60.53,0.40
165,MX-2012-133305,837,230.13,0.20
166,MX-2012-107146,326,16.30,0.00
167,MX-2012-107146,278,2.70,0.00
168,MX-2013-127621,31,9.62,0.20
169,US-2013-103513,11,-2.81,0.40
170,MX-2013-131436,731,118.82,0.20
171,MX-2011-104626,651,32.48,0.00
172,MX-2013-141446,11,4.48,0.00
173,MX-2013-141446,343,61.07,0.00
174,MX-2013-141446,47,9.86,0.00
175,MX-2013-141446,56,15.16,0.00
176,MX-2013-119795,166,19.90,0.00
177,MX-2013-119795,13,4.96,0.00
178,MX-2013-119795,119,1.08,0.00
179,MX-2013-120453,495,113.80,0.00
180,MX-2013-120453,1112,200.04,0.00
181,MX-2013-120453,370,55.40,0.00
182,MX-2013-120453,394,90.66,0.00
183,MX-2013-120453,14,3.28,0.00
184,US-2012-122539,61,-37.92,0.40
185,MX-2014-141684,142,19.49,0.20
186,MX-2013-148453,74,17.82,0.00
187,MX-2013-148453,122,15.80,0.00
188,MX-2013-148453,160,70.08,0.00
189,MX-2013-148453,1480,333.05,0.20
190,MX-2013-148453,983,-12.29,0.20
191,MX-2013-148453,347,100.50,0.00
192,MX-2013-148453,20,9.66,0.00
193,MX-2014-102351,58,15.10,0.00
194,MX-2012-144841,130,42.80,0.00
195,US-2012-114867,5,-2.46,0.40
196,MX-2014-134922,89,6.69,0.20
197,US-2011-162229,7,-0.68,0.40
198,US-2011-162229,102,-49.39,0.40
199,US-2013-152800,16,-1.28,0.20
200,US-2013-152800,63,1.44,0.20
201,US-2013-152800,9,2.78,0.20
202,US-2013-152800,33,-4.66,0.20
203,MX-2014-118584,257,0.00,0.00
204,MX-2014-133984,119,56.88,0.00
205,MX-2013-163853,80,9.31,0.40
206,MX-2013-163853,107,-64.42,0.40
207,MX-2013-163853,30,-0.56,0.40
208,US-2014-146080,68,-44.06,0.40
209,US-2014-146080,64,-146.14,0.70
210,US-2014-146080,24,3.18,0.40
211,US-2014-146080,2,-2.56,0.70
212,US-2014-146080,8,-2.06,0.40
213,US-2014-146080,199,-23.23,0.40
214,US-2011-118899,738,-166.15,0.20
215,MX-2014-134306,9,3.60,0.00
216,US-2011-128776,88,-14.34,0.20
217,US-2011-128776,277,-10.55,0.20
218,US-2011-128776,111,-23.58,0.20
219,US-2011-128776,538,-107.68,0.20
220,US-2011-128776,1697,-148.46,0.20
221,MX-2012-147382,142,7.04,0.00
222,MX-2012-147382,818,8.16,0.00
223,MX-2012-147382,18,0.12,0.00
224,MX-2012-147382,723,86.76,0.00
225,MX-2012-147382,123,31.92,0.00
226,MX-2012-147382,520,217.72,0.00
227,MX-2011-131709,688,0.00,0.20
228,MX-2014-146101,87,35.50,0.00
229,MX-2014-111927,399,191.28,0.00
230,MX-2014-107930,30,13.44,0.00
231,MX-2014-107930,63,30.44,0.00
232,MX-2014-107930,1219,198.04,0.20
233,MX-2014-107930,176,26.15,0.00
234,MX-2014-107930,229,8.56,0.20
235,MX-2013-115343,113,40.68,0.00
236,MX-2013-115343,50,4.02,0.00
237,MX-2014-165435,550,109.88,0.00
238,MX-2012-125234,2278,751.80,0.00
239,MX-2013-133417,1099,233.46,0.20
240,MX-2013-133417,59,25.32,0.00
241,MX-2011-133466,177,54.96,0.00
242,MX-2011-133466,52,18.66,0.00
243,MX-2011-133466,360,104.46,0.00
244,MX-2011-133466,55,1.64,0.00
245,MX-2014-141068,22,9.30,0.00
246,MX-2014-141068,44,3.52,0.00
247,MX-2011-146332,226,97.20,0.00
248,MX-2011-146332,158,20.48,0.00
249,MX-2014-148642,41,5.70,0.00
250,MX-2014-148642,44,12.20,0.00
251,MX-2012-129623,64,8.45,0.40
252,US-2013-141257,250,-33.38,0.40
253,US-2013-141257,9,-0.18,0.40
254,US-2013-141257,10,-0.66,0.40
255,MX-2014-157560,189,41.52,0.00
256,MX-2012-100503,120,31.08,0.00
257,MX-2012-100503,162,30.44,0.00
258,MX-2012-127565,52,0.00,0.00
259,MX-2011-127089,265,13.15,0.20
260,MX-2011-127089,51,14.28,0.00
261,MX-2011-127089,111,37.60,0.00
262,MX-2012-138471,119,14.82,0.20
263,MX-2013-131961,123,41.86,0.00
264,US-2013-116561,246,-37.02,0.40
265,US-2013-101721,285,-17.84,0.20
266,MX-2012-115259,18,0.32,0.00
267,MX-2012-130792,77,20.04,0.00
268,MX-2014-159282,607,133.60,0.00
269,MX-2014-159282,92,45.20,0.00
270,MX-2014-159282,27,0.24,0.00
271,US-2014-148796,3,-4.93,0.70
272,US-2014-148796,43,-22.43,0.40
273,MX-2014-169586,54,14.40,0.00
274,US-2014-138415,103,-3.46,0.40
275,US-2014-138415,29,-6.30,0.40
276,US-2011-152240,552,-101.12,0.40
277,MX-2013-168781,105,8.32,0.00
278,MX-2013-168781,127,60.88,0.00
279,MX-2011-102771,33,6.20,0.00
280,MX-2012-119249,3408,238.56,0.00
281,US-2014-128279,15,-22.43,0.60
282,MX-2014-155551,90,3.60,0.00
283,MX-2012-154249,137,35.68,0.00
284,US-2014-127600,32,-41.06,0.60
285,MX-2013-153654,64,3.20,0.00
286,MX-2013-153654,319,111.58,0.20
287,MX-2013-153654,334,13.32,0.00
288,MX-2013-153654,1023,332.29,0.20
289,US-2011-156664,369,-591.17,0.70
290,MX-2013-145534,15,5.92,0.00
291,MX-2013-145534,161,66.00,0.00
292,MX-2013-162481,161,2.60,0.40
293,MX-2013-143000,1970,49.22,0.20
294,MX-2013-103527,131,31.32,0.00
295,MX-2012-133424,701,300.75,0.00
296,MX-2012-133424,19,2.94,0.00
297,MX-2012-133424,16,2.98,0.00
298,MX-2012-164210,123,33.24,0.00
299,MX-2013-145569,100,13.25,0.40
300,US-2013-137519,414,-89.68,0.40
301,US-2012-139892,23,-7.58,0.60
302,US-2012-139892,18,-5.46,0.60
303,MX-2014-160402,98,35.34,0.00
