Row_ID,Ship_Mode,Shipping_Cost,Order_Priority
1,"Standard Class",1.03,Medium
2,"Standard Class",13.45,Medium
3,"Standard Class",9.63,Medium
4,"Standard Class",1.37,Medium
5,"Standard Class",3.79,Medium
6,"Standard Class",4.72,Medium
7,"Standard Class",4.11,Medium
8,"Standard Class",26.20,Medium
9,"Standard Class",6.86,Medium
10,"Standard Class",17.34,Medium
11,"Standard Class",1.13,Medium
12,"Standard Class",0.65,Medium
13,"Standard Class",16.07,Medium
14,"Standard Class",8.86,Low
15,"Standard Class",6.20,Medium
16,"Standard Class",0.46,Medium
17,"Standard Class",1.60,Medium
18,"Standard Class",27.77,Medium
19,"Standard Class",2.14,Medium
20,"Standard Class",0.38,Medium
21,"Standard Class",48.17,Low
22,"Second Class",3.90,High
23,"Second Class",37.86,High
24,"Standard Class",4.00,Medium
25,"First Class",1.09,Medium
26,"Standard Class",16.78,Medium
27,"Standard Class",5.08,Medium
28,"Standard Class",9.47,Medium
29,"Standard Class",1.09,Medium
30,"Standard Class",5.92,Medium
31,"Standard Class",1.84,Medium
32,"Standard Class",16.25,Medium
33,"Standard Class",80.28,Medium
34,"Standard Class",0.93,Medium
35,"First Class",21.22,High
36,"First Class",19.54,High
37,"First Class",21.76,High
38,"Second Class",94.28,High
39,"Second Class",45.85,High
40,"Second Class",6.97,High
41,"Second Class",15.74,Critical
42,"Second Class",33.64,High
43,"Standard Class",21.91,Medium
44,"Standard Class",44.08,Medium
45,"Standard Class",2.52,Medium
46,"Same Day",55.02,Critical
47,"Standard Class",10.19,Medium
48,"Standard Class",14.25,Medium
49,"Standard Class",2.04,High
50,"Standard Class",3.21,Medium
51,"Second Class",3.36,Medium
52,"Second Class",9.81,Medium
53,"Second Class",5.57,Medium
54,"Second Class",50.13,Medium
55,"Second Class",1.60,Medium
56,"Standard Class",0.89,Medium
57,"Standard Class",13.97,Medium
58,"Second Class",447.66,High
59,"Standard Class",1.58,High
60,"Standard Class",28.18,Medium
61,"Standard Class",4.42,Medium
62,"Same Day",220.77,High
63,"Second Class",83.77,Critical
64,"First Class",14.02,High
65,"First Class",9.93,High
66,"Standard Class",10.48,Medium
67,"Standard Class",2.03,High
68,"Standard Class",18.26,High
69,"Standard Class",164.45,Low
70,"Standard Class",10.10,Low
71,"Standard Class",75.01,Medium
72,"Standard Class",7.32,Medium
73,"Standard Class",1.81,Medium
74,"Standard Class",4.94,Medium
75,"Standard Class",0.74,Medium
76,"Standard Class",9.46,Medium
77,"Standard Class",1.11,Medium
78,"Standard Class",12.38,Medium
79,"Standard Class",7.76,Medium
80,"Standard Class",1.36,Medium
81,"Standard Class",4.37,Medium
82,"Standard Class",6.76,Medium
83,"Standard Class",3.08,Medium
84,"Standard Class",16.44,Medium
85,"Standard Class",7.60,Medium
86,"Standard Class",2.69,Medium
87,"Standard Class",10.71,High
88,"Standard Class",1.65,High
89,"Standard Class",14.51,High
90,"Standard Class",59.68,High
91,"Standard Class",5.22,High
92,"Standard Class",24.63,High
93,"Standard Class",4.10,High
94,"Standard Class",10.86,High
95,"Standard Class",2.83,High
96,"Standard Class",55.57,Low
97,"Standard Class",7.18,Low
98,"Standard Class",5.69,Medium
99,"First Class",28.03,Critical
100,"First Class",18.58,Critical
101,"Second Class",9.00,Medium
102,"Standard Class",3.46,Medium
103,"Standard Class",27.26,Low
104,"Standard Class",2.13,Low
105,"Second Class",0.63,High
106,"Standard Class",29.59,Medium
107,"Standard Class",5.99,Medium
108,"Second Class",2.22,High
109,"Second Class",1.71,High
110,"Same Day",12.21,High
111,"Standard Class",55.56,Low
112,"Standard Class",4.03,Medium
113,"Second Class",5.73,Medium
114,"Second Class",6.27,Medium
115,"Second Class",29.00,Medium
116,"Standard Class",1.61,Medium
117,"Second Class",78.48,Medium
118,"Second Class",166.26,High
119,"Second Class",23.34,High
120,"Second Class",1.29,High
121,"Standard Class",7.32,Medium
122,"Standard Class",6.42,Medium
123,"Standard Class",16.47,High
124,"Standard Class",11.70,High
125,"First Class",28.48,Medium
126,"First Class",32.39,Medium
127,"First Class",30.21,Medium
128,"First Class",6.47,Medium
129,"First Class",10.82,Medium
130,"Standard Class",16.39,Medium
131,"Standard Class",4.39,Medium
132,"Standard Class",72.52,Medium
133,"Standard Class",0.89,Medium
134,"Standard Class",0.18,Medium
135,"Standard Class",1.11,Medium
136,"Standard Class",30.01,Medium
137,"Standard Class",0.40,Medium
138,"First Class",14.13,Medium
139,"Standard Class",8.22,Medium
140,"Standard Class",27.00,Medium
141,"Standard Class",2.19,Medium
142,"Standard Class",22.54,Medium
143,"Standard Class",1.29,Medium
144,"Standard Class",5.46,Medium
145,"Standard Class",7.14,Medium
146,"Standard Class",1.51,Medium
147,"Second Class",25.07,Medium
148,"Second Class",0.82,Medium
149,"Second Class",29.39,Medium
150,"Second Class",2.38,Medium
151,"Standard Class",17.90,Medium
152,"Standard Class",1.01,Medium
153,"Standard Class",2.88,Medium
154,"Standard Class",8.70,Low
155,"Standard Class",7.88,Medium
156,"Standard Class",5.01,Medium
157,"Standard Class",9.52,Medium
158,"Same Day",5.06,Medium
159,"Same Day",2.39,Medium
160,"Second Class",24.44,High
161,"Second Class",31.56,High
162,"Same Day",75.07,Critical
163,"Same Day",79.43,Critical
164,"Standard Class",30.05,Medium
165,"First Class",239.22,High
166,"Second Class",26.91,Medium
167,"Second Class",17.62,Medium
168,"Second Class",2.87,Medium
169,"Second Class",3.16,Critical
170,"Standard Class",54.04,Medium
171,"Standard Class",49.41,Medium
172,"Standard Class",1.42,Low
173,"Standard Class",44.54,Low
174,"Standard Class",3.41,Low
175,"Standard Class",2.99,Low
176,"Standard Class",18.48,High
177,"Standard Class",0.91,High
178,"Standard Class",11.43,High
179,"Second Class",28.91,Medium
180,"Second Class",115.53,Medium
181,"Second Class",32.33,Medium
182,"Second Class",37.30,Medium
183,"Second Class",1.16,Medium
184,"Same Day",9.52,High
185,"Second Class",4.89,Medium
186,"First Class",12.46,Medium
187,"First Class",2.52,Medium
188,"First Class",21.11,Medium
189,"First Class",283.93,Medium
190,"First Class",77.86,Medium
191,"First Class",70.85,Medium
192,"First Class",3.71,Medium
193,"Standard Class",1.86,Medium
194,"Standard Class",16.64,Medium
195,"First Class",1.04,High
196,"Second Class",12.85,High
197,"Standard Class",0.86,High
198,"Standard Class",14.24,High
199,"Second Class",0.69,Medium
200,"Second Class",4.88,Medium
201,"Second Class",0.84,Medium
202,"Second Class",0.89,Medium
203,"Standard Class",26.59,Low
204,"Standard Class",8.37,Medium
205,"Standard Class",3.15,Medium
206,"Standard Class",13.21,Medium
207,"Standard Class",3.33,Medium
208,"Same Day",8.77,Critical
209,"Same Day",12.79,Critical
210,"Same Day",6.74,Critical
211,"Same Day",0.35,Critical
212,"Same Day",2.47,Critical
213,"Same Day",42.67,Critical
214,"Standard Class",14.60,Medium
215,"Standard Class",0.82,Medium
216,"Second Class",12.50,Critical
217,"Second Class",44.90,Critical
218,"Second Class",35.13,Critical
219,"Second Class",103.12,Critical
220,"Second Class",704.06,Critical
221,"Second Class",11.42,Medium
222,"Second Class",77.98,Medium
223,"Second Class",1.53,Medium
224,"Second Class",104.50,Medium
225,"Second Class",6.32,Medium
226,"Second Class",31.42,Medium
227,"Standard Class",44.50,Medium
228,"Standard Class",8.43,Medium
229,"First Class",35.21,High
230,"Second Class",7.82,Critical
231,"Second Class",16.34,Critical
232,"Second Class",185.44,Critical
233,"Second Class",39.43,Critical
234,"Second Class",88.45,Critical
235,"Same Day",28.92,Critical
236,"Same Day",17.72,Critical
237,"Second Class",31.65,Medium
238,"Standard Class",138.71,Medium
239,"Second Class",66.63,High
240,"Second Class",3.07,High
241,"Standard Class",9.28,Medium
242,"Standard Class",3.68,Medium
243,"Standard Class",27.40,Medium
244,"Standard Class",4.86,Medium
245,"Standard Class",1.74,Medium
246,"Standard Class",2.80,Medium
247,"First Class",38.43,High
248,"First Class",19.88,High
249,"Standard Class",4.46,High
250,"Standard Class",5.97,High
251,"Standard Class",3.55,Medium
252,"Second Class",25.61,Medium
253,"Second Class",1.08,Medium
254,"Second Class",0.94,Medium
255,"First Class",16.69,High
256,"First Class",8.02,High
257,"First Class",23.56,High
258,"Standard Class",2.51,Medium
259,"Second Class",27.23,Medium
260,"Second Class",5.31,Medium
261,"Second Class",6.62,Medium
262,"First Class",14.31,High
263,"Standard Class",9.35,High
264,"Standard Class",16.97,Medium
265,"Standard Class",13.30,Medium
266,"Second Class",1.26,Medium
267,"Second Class",5.38,Medium
268,"Standard Class",0.88,Medium
269,"Standard Class",6.86,Medium
270,"Standard Class",3.47,Medium
271,"Standard Class",0.60,Low
272,"Standard Class",2.97,Low
273,"Second Class",5.68,Medium
274,"Second Class",18.49,High
275,"Second Class",4.89,High
276,"Standard Class",52.26,Low
277,"Standard Class",6.04,Medium
278,"Standard Class",5.58,Medium
279,"Second Class",5.49,High
280,"Same Day",41.89,Medium
281,"Standard Class",1.25,Medium
282,"Same Day",9.52,High
283,"Standard Class",10.84,Medium
284,"Standard Class",2.86,Medium
285,"Second Class",5.36,Medium
286,"Second Class",29.28,Medium
287,"Second Class",37.05,Medium
288,"Second Class",105.03,Medium
289,"Standard Class",18.73,Medium
290,"Second Class",2.37,Medium
291,"Second Class",9.45,Medium
292,"Standard Class",5.02,Medium
293,"Standard Class",116.24,Medium
294,"Standard Class",6.34,Medium
295,"First Class",177.04,High
296,"First Class",1.65,High
297,"First Class",1.73,High
298,"Standard Class",11.52,Medium
299,"Standard Class",8.91,High
300,"Same Day",69.99,High
301,"Standard Class",1.06,Medium
302,"Standard Class",1.16,Medium
