Row_ID,Order_ID,Customer_ID,Product_ID,Quantity,Year,weeknum,Week_Date
1,MX-2014-143658,SC-205753,OFF-LA-10002782,3,2014,40,2014-09-29
2,MX-2012-155047,KW-165703,FUR-FU-10004015,8,2012,42,2012-10-08
3,MX-2012-155047,KW-165703,FUR-BO-10002352,2,2012,42,2012-10-08
4,MX-2012-155047,KW-165703,OFF-BI-10004428,4,2012,42,2012-10-08
5,MX-2012-155047,KW-165703,OFF-AR-10004594,2,2012,42,2012-10-08
6,MX-2012-155047,KW-165703,OFF-EN-10001375,2,2012,42,2012-10-08
7,MX-2013-134096,DP-130003,OFF-EN-10001375,2,2013,39,2013-09-23
8,MX-2013-134096,DP-130003,TEC-MA-10004956,3,2013,39,2013-09-23
9,MX-2013-134096,DP-130003,OFF-SU-10003474,4,2013,39,2013-09-23
10,MX-2013-134096,DP-130003,TEC-AC-10001830,2,2013,39,2013-09-23
11,MX-2013-134096,DP-130003,OFF-BI-10002075,3,2013,39,2013-09-23
12,MX-2013-156335,TB-212503,OFF-FA-10002526,3,2013,10,2013-03-04
13,MX-2013-156335,TB-212503,FUR-CH-10002846,4,2013,10,2013-03-04
14,MX-2014-121923,PK-189103,OFF-EN-10004100,3,2014,39,2014-09-22
15,MX-2014-135706,JK-156253,OFF-AR-10003914,4,2014,42,2014-10-13
16,MX-2014-135706,JK-156253,OFF-FA-10000038,1,2014,42,2014-10-13
17,US-2013-126655,HE-148003,OFF-EN-10000761,2,2013,26,2013-06-24
18,US-2013-126655,HE-148003,FUR-FU-10003066,7,2013,26,2013-06-24
19,US-2013-126655,HE-148003,OFF-EN-10000075,2,2013,26,2013-06-24
20,US-2013-126655,HE-148003,OFF-EN-10002226,3,2013,26,2013-06-24
21,MX-2013-167759,JE-156103,FUR-CH-10002132,4,2013,51,2013-12-16
22,MX-2013-163139,TB-210553,TEC-AC-10002749,1,2013,44,2013-10-28
23,MX-2013-163139,TB-210553,OFF-SU-10000066,9,2013,44,2013-10-28
24,US-2014-119753,DW-131953,OFF-BI-10003934,3,2014,40,2014-09-29
25,US-2012-133970,SJ-202153,FUR-FU-10001142,9,2012,39,2012-09-17
26,MX-2014-120607,SP-206503,TEC-CO-10003541,2,2014,25,2014-06-16
27,MX-2014-120607,SP-206503,OFF-ST-10004296,5,2014,25,2014-06-16
28,US-2013-167129,SC-200503,OFF-BI-10003709,7,2013,21,2013-05-20
29,US-2013-167129,SC-200503,OFF-FA-10003529,4,2013,21,2013-05-20
30,US-2013-167129,SC-200503,TEC-PH-10002483,4,2013,21,2013-05-20
31,US-2013-167129,SC-200503,OFF-AR-10002055,2,2013,21,2013-05-20
32,US-2013-167129,SC-200503,OFF-AP-10000023,5,2013,21,2013-05-20
33,US-2013-167129,SC-200503,TEC-CO-10004904,8,2013,21,2013-05-20
34,US-2013-167129,SC-200503,OFF-AR-10000404,1,2013,21,2013-05-20
35,MX-2014-100727,DM-135253,OFF-SU-10004480,14,2014,20,2014-05-12
36,MX-2014-100727,DM-135253,OFF-SU-10003162,7,2014,20,2014-05-12
37,MX-2014-100727,DM-135253,OFF-SU-10002521,4,2014,20,2014-05-12
38,MX-2014-154739,SC-204403,FUR-TA-10004531,3,2014,27,2014-06-30
39,MX-2014-154739,SC-204403,FUR-BO-10002679,4,2014,27,2014-06-30
40,MX-2014-154739,SC-204403,OFF-FA-10004587,4,2014,27,2014-06-30
41,MX-2014-121398,AR-108253,OFF-SU-10001132,3,2014,50,2014-12-08
42,MX-2013-121839,RW-196903,TEC-PH-10001288,4,2013,25,2013-06-17
43,MX-2014-142643,MT-178153,TEC-MA-10003625,2,2014,44,2014-10-27
44,MX-2014-142643,MT-178153,OFF-AP-10002681,2,2014,44,2014-10-27
45,MX-2014-142643,MT-178153,TEC-AC-10004939,3,2014,44,2014-10-27
46,MX-2014-164959,LC-169603,FUR-CH-10002088,3,2014,3,2014-01-13
47,US-2012-151372,AS-102403,OFF-ST-10003184,5,2012,17,2012-04-16
48,US-2012-151372,AS-102403,TEC-CO-10001756,2,2012,17,2012-04-16
49,MX-2011-127145,SF-202003,FUR-FU-10003608,2,2011,25,2011-06-13
50,MX-2014-100783,MG-182053,OFF-FA-10002353,5,2014,19,2014-05-05
51,MX-2011-168662,KC-162553,OFF-SU-10003665,4,2011,42,2011-10-10
52,US-2011-150987,DW-134803,TEC-CO-10003142,3,2011,14,2011-03-28
53,US-2011-150987,DW-134803,TEC-CO-10001756,3,2011,14,2011-03-28
54,US-2011-150987,DW-134803,OFF-AP-10004958,3,2011,14,2011-03-28
55,US-2011-150987,DW-134803,OFF-EN-10000755,2,2011,14,2011-03-28
56,MX-2013-156013,DS-130303,OFF-FA-10003529,3,2013,22,2013-05-27
57,MX-2013-156013,DS-130303,FUR-BO-10000734,4,2013,22,2013-05-27
58,MX-2011-137897,JM-155803,TEC-PH-10000018,5,2011,21,2011-05-16
59,US-2011-134950,PW-192403,OFF-AR-10001402,3,2011,35,2011-08-22
60,MX-2013-152611,DS-130303,TEC-PH-10003416,9,2013,41,2013-10-07
61,MX-2011-155488,CC-122203,OFF-AP-10001723,1,2011,43,2011-10-17
62,MX-2014-116337,MG-182053,FUR-BO-10000624,3,2014,20,2014-05-12
63,US-2012-164609,LC-168853,FUR-BO-10003499,3,2012,35,2012-08-20
64,MX-2014-165442,BT-115303,OFF-BI-10003952,2,2014,11,2014-03-10
65,MX-2014-165442,BT-115303,OFF-BI-10002080,5,2014,11,2014-03-10
66,US-2012-104997,RK-193003,FUR-TA-10004584,2,2012,45,2012-10-29
67,MX-2011-165673,PB-192103,OFF-PA-10004385,2,2011,23,2011-05-30
68,MX-2011-165673,PB-192103,TEC-CO-10001978,5,2011,23,2011-05-30
69,MX-2013-164021,BM-111403,FUR-BO-10004113,3,2013,30,2013-07-22
70,MX-2013-164021,BM-111403,FUR-FU-10001583,6,2013,30,2013-07-22
71,US-2014-120194,TZ-214453,FUR-TA-10004937,2,2014,37,2014-09-08
72,US-2011-132388,GZ-144703,TEC-MA-10002710,2,2011,9,2011-02-21
73,MX-2012-156720,FM-142153,OFF-SU-10001750,1,2012,7,2012-02-06
74,MX-2012-156720,FM-142153,TEC-AC-10004379,5,2012,7,2012-02-06
75,MX-2012-156720,FM-142153,OFF-BI-10001430,2,2012,7,2012-02-06
76,MX-2012-156720,FM-142153,OFF-EN-10002122,5,2012,7,2012-02-06
77,US-2014-157630,LR-169153,OFF-SU-10003236,2,2014,26,2014-06-23
78,US-2014-157630,LR-169153,OFF-ST-10002471,2,2014,26,2014-06-23
79,US-2014-157630,LR-169153,OFF-SU-10002816,7,2014,26,2014-06-23
80,US-2011-119935,KT-164653,FUR-FU-10000499,3,2011,25,2011-06-13
81,US-2011-119935,KT-164653,FUR-CH-10004725,14,2011,25,2011-06-13
82,US-2011-119935,KT-164653,TEC-AC-10001341,3,2011,25,2011-06-13
83,US-2011-119935,KT-164653,OFF-AR-10000461,5,2011,25,2011-06-13
84,MX-2013-119970,MW-182203,OFF-ST-10000990,2,2013,26,2013-06-24
85,MX-2013-119970,MW-182203,OFF-SU-10004643,5,2013,26,2013-06-24
86,MX-2014-165925,CS-123553,OFF-PA-10003380,3,2014,4,2014-01-20
87,MX-2014-137365,PS-187603,OFF-FA-10002247,8,2014,25,2014-06-16
88,MX-2014-137365,PS-187603,FUR-FU-10003150,2,2014,25,2014-06-16
89,MX-2012-158981,SC-208453,TEC-AC-10003851,3,2012,52,2012-12-17
90,MX-2012-158981,SC-208453,FUR-BO-10004472,3,2012,52,2012-12-17
91,MX-2012-158981,SC-208453,OFF-BI-10000280,9,2012,52,2012-12-17
92,MX-2012-158981,SC-208453,OFF-EN-10000857,10,2012,52,2012-12-17
93,MX-2013-169292,AJ-107803,OFF-PA-10001385,5,2013,17,2013-04-22
94,MX-2013-169292,AJ-107803,OFF-EN-10002186,5,2013,17,2013-04-22
